PID             Arrival time    Phase Length   
1               5               2              
2               6               2              
3               4               1              
4               4               2              
5               0               2              
6               5               3              
7               6               1              
8               6               1              
9               3               2              
10              5               1              
11              3               3              
12              6               1              
13              0               2              
14              2               2              
15              6               1              
