PID             Arrival time    Phase Length   
1               17              3              
2               8               2              
3               14              2              
4               18              4              
5               3               4              
6               0               1              
7               10              2              
8               5               2              
9               13              1              
10              15              3              
11              16              3              
12              18              3              
13              4               4              
14              19              1              
15              7               2              
16              6               4              
17              17              1              
18              10              1              
19              14              3              
20              10              4              
